39.722401,-75.505074:39.72142,-75.505363:1.0
39.79723,-75.415176:39.797199,-75.41507:1.0
39.79723,-75.413887:39.797249,-75.413887:0.333333333333
39.79723,-75.413887:39.79723,-75.413902:0.333333333333
39.79723,-75.413887:39.797241,-75.413887:0.333333333333
39.79723,-75.415932:39.79723,-75.415833:1.0
39.79723,-75.413803:39.797218,-75.413757:1.0
39.79723,-75.415833:39.797249,-75.41555:1.0
39.79723,-75.413902:39.797211,-75.413834:1.0
39.70718,-75.509949:39.70813,-75.509567:1.0
39.70718,-75.51091:39.71014,-75.509789:1.0
39.70718,-75.510483:39.707211,-75.510498:1.0
39.70713,-75.510429:39.707161,-75.510452:1.0
39.70713,-75.510132:39.7075,-75.509956:1.0
39.740479,-75.497177:39.741482,-75.496773:1.0
39.740479,-75.4972:39.739929,-75.497414:1.0
39.748119,-75.493118:39.747669,-75.4935:1.0
39.77943,-75.463013:39.770611,-75.47168:1.0
39.77943,-75.463074:39.792221,-75.441582:1.0
39.77943,-75.462807:39.779739,-75.46244:1.0
39.77943,-75.463768:39.779789,-75.463387:1.0
39.77943,-75.462502:39.779621,-75.46228:1.0
39.77943,-75.463432:39.778622,-75.464203:1.0
39.819351,-75.386383:39.819649,-75.38578:1.0
39.819351,-75.385017:39.819149,-75.385239:1.0
39.819351,-75.389381:39.81918,-75.389702:1.0
39.819351,-75.387367:39.81918,-75.388039:1.0
39.819351,-75.386276:39.819321,-75.38633:1.0
39.819351,-75.385849:39.819672,-75.385353:1.0
39.819351,-75.386147:39.819679,-75.385674:1.0
39.819351,-75.387756:39.819469,-75.387527:1.0
39.819351,-75.389549:39.819191,-75.3899:1.0
39.819351,-75.384682:39.819489,-75.384499:1.0
39.819351,-75.387093:39.81953,-75.386719:1.0
39.819351,-75.388687:39.818722,-75.389748:1.0
39.819351,-75.385887:39.819019,-75.386353:1.0
39.819351,-75.388519:39.819069,-75.389076:1.0
39.819351,-75.386467:39.819729,-75.38575:1.0
39.819351,-75.386131:39.818951,-75.386833:1.0
39.819351,-75.387901:39.819618,-75.387413:1.0
39.787041,-75.451897:39.787369,-75.451263:1.0
39.789322,-75.448227:39.789429,-75.448029:1.0
39.783749,-75.458023:39.784882,-75.456268:1.0
39.784538,-75.456352:39.78289,-75.458733:1.0
39.780869,-75.461548:39.77956,-75.462868:1.0
39.79533,-75.435837:39.795502,-75.435333:0.5
39.79533,-75.435837:39.79583,-75.434669:0.5
39.79533,-75.435333:39.795509,-75.435143:0.5
39.79533,-75.435333:39.795502,-75.43483:0.5
39.79533,-75.43573:39.794701,-75.43705:1.0
39.79533,-75.435303:39.79575,-75.434502:1.0
39.79533,-75.435097:39.79562,-75.43454:1.0
39.79533,-75.43631:39.796188,-75.434303:1.0
39.79533,-75.43618:39.795429,-75.435997:1.0
39.79533,-75.435677:39.794971,-75.436417:1.0
39.79533,-75.435692:39.795139,-75.436119:1.0
39.79533,-75.436348:39.794651,-75.437653:1.0
39.79533,-75.435997:39.795818,-75.435127:0.5
39.79533,-75.435997:39.79567,-75.435333:0.5
39.79533,-75.435501:39.79533,-75.435333:0.333333333333
39.79533,-75.435501:39.795502,-75.434998:0.333333333333
39.79533,-75.435501:39.748501,-75.491333:0.333333333333
39.79533,-75.435829:39.795391,-75.435661:1.0
39.79533,-75.435669:39.796169,-75.43383:0.5
